USDA accession,host plant name,common name,source,geographic source,taxonomy,note
USDA1221,Medicago sativa,alfalfa (Vernal),"Richard Peaden, IAREC, Prosser, WA","Prosser, Washington, 5/18/82",,Warden fine sandy loam.
USDA1220,Medicago sativa,alfalfa (Cody),"Bill Ellis, University of Minnesota","Minnesota, USA, 10/84",,
USDA122,Glycine max,soybean,USDA original,"Mississippi, 1960",Bradyrhizobium japonicum,"serotype strain of the serogroup, effective, recommended for soybean inoculation in North America"
USDA1219,Medicago sativa,alfalfa (Cody),"Bill Ellis, University of Minnesota","Minnesota, USA, 10/84",,
USDA1218,Medicago sativa,alfalfa (CUF 101),"Bill Ellis, University of Minnesota","Minnesota, USA, 10/84",,
USDA1217,Medicago sativa,alfalfa (CUF 101),"Bill Ellis, University of Minnesota","Minnesota, USA, 10/84",,
USDA1216,Medicago sativa,alfalfa (CUF 101),"Bill Ellis, University of Minnesota","Minnesota, USA, 10/84",,
USDA1215,Medicago sativa,alfalfa (CUF 101),"Bill Ellis, University of Minnesota","Minnesota, USA, 10/84",,
USDA1214,Medicago sativa,alfalfa,"Perry Olsen, Agriculture Canada","Alberta, Beaverlodge, Canada, 1/20/88",,
USDA1213,Medicago sativa,alfalfa,"Perry Olsen, Agriculture Canada","Alberta, Beaverlodge, Canada, 1/20/88",,
USDA1212,Medicago sativa,alfalfa,"Perry Olsen, Agriculture Canada","Alberta, Beaverlodge, Canada, 1/20/88",,
